================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 4841, 'vms': 12219.94921875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4843, 'vms': 849.02734375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4844, 'vms': 853.2265625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4877, 'vms': 958.1171875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4878, 'vms': 786.0625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4895, 'vms': 805.08203125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4913, 'vms': 895.46875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4914, 'vms': 790.23046875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4937, 'vms': 780.40625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4950, 'vms': 1104.86328125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4951, 'vms': 1078.35546875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4952, 'vms': 735.73828125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4953, 'vms': 1021.71875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 4986, 'vms': 907.734375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5000, 'vms': 745.328125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5001, 'vms': 731.20703125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5010, 'vms': 1043.78515625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5020, 'vms': 850.8125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5022, 'vms': 708.71484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5048, 'vms': 894.203125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5057, 'vms': 782.375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5060, 'vms': 971.54296875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5061, 'vms': 864.9609375, 'username': 'inarvekar', 'name': 'chrome'}
